
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
80-0056                          U2                                43   1      9   9   1 13         12 0                     (0-0-0)
80-0056                          U2                                43   1     10  10   1 17         16 0 UART_RTS            (4112-4-13)
80-0056                          U2                                43   1     11  11   1 18         17 0 UART_CTS            (4112-5-13)
80-0056                          U2                                43   1     12  12   1 21         20 0                     (0-0-0)
80-0056                          U2                                43   1     13  13   1 22         21 0                     (0-0-0)
80-0056                          U2                                43   1     14  14   1 23         22 0                     (0-0-0)
80-0056                          U2                                43   1     15  15   1 24         23 0                     (0-0-0)
80-0056                          U2                                43   1     16  16   1 25         24 0                     (0-0-0)
80-0056                          U2                                43   1     17  17   1 28         26 0                     (0-0-0)
80-0056                          U2                                43   1     18  18   1 29         27 0                     (0-0-0)
80-0056                          U2                                43   1     19  19   1 30         28 0                     (0-0-0)
80-0056                          U2                                43   1     20  20   1 31         29 0                     (0-0-0)
80-0056                          U2                                43   1     21  21   1 32         30 0 WAKE                (4112-6-13)
80-0056                          U2                                43   1     22  22   1 33         31 0                     (0-0-0)
80-0056                          U2                                43   1     23  23   1 34         32 0 RSTn                (4076-7-13)
80-0056                          U2                                43   1     24  24   1 14         13 0                     (0-0-0)
80-0056                          U2                                43   1     25  25   1 16         15 0                     (0-0-0)
80-0056                          U2                                43   1     26  26   1 15         14 0                     (0-0-0)
80-0056                          U2                                43   1     27  27   1 19         18 0 UART_RX             (4112-3-13)
80-0056                          U2                                43   1     28  28   1 20         19 0 UART_TX             (4112-2-13)
80-0056                          U2                                43   1     29  29   1 3           3 0 VCC                 (43-2-13)
80-0056                          U2                                43   1     30  30   1 10         10 0 VCC                 (43-2-13)
80-0056                          U2                                43   1     31  31   1 35         33 0 VCC                 (43-2-13)
80-0056                          U2                                43   2      1   1   2 2           2 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1   3 51         48 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1   4 50         47 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1   5 49         46 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1   6 48         45 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1   7 46         43 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1   8 45         42 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1   9 44         41 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1  10 42         39 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1  11 41         38 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1  12 40         37 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1  13 39         36 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1  14 37_38      35 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1  15 36         34 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1  16 26_27      25 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1  17 11_12      11 0 GND                 (43-1-13)
80-0056                          U2                                43   2      1   1  18 1_52        1 0 GND                 (43-1-13)
81-0007                          QZ1                               11   1      1   1   1 1           1 0 OSC_OUT             (4076-65-13)
